Identifier,Negative Prescriptions,Positive prescriptions,Race,Religion,Resource,Journey,Government guarantee,Prosperity,Safety
1869031306201,0.3080293536186218,0.29964667558670044,0.26519495248794556,0.33482736349105835,0.3394012451171875,0.23709779977798462,0.47732269763946533,0.22358474135398865,0.255389541387558
1869031506202,0.2909785509109497,0.42828482389450073,0.32042962312698364,0.37605011463165283,0.4202631711959839,0.5101476907730103,0.5160534381866455,0.31188270449638367,0.36425286531448364
1869031506201,0.313444584608078,0.3932134509086609,0.37914079427719116,0.4461802840232849,0.389222651720047,0.48977208137512207,0.5026803016662598,0.3143511116504669,0.4061247408390045
1869031606201,0.2802329659461975,0.31683850288391113,0.3958991765975952,0.4393141567707062,0.46548742055892944,0.4327259361743927,0.5667411684989929,0.2770761251449585,0.25553643703460693
1869031618201,0.38938283920288086,0.36709895730018616,0.3907886743545532,0.34499767422676086,0.36273086071014404,0.4608222544193268,0.4191696047782898,0.27381035685539246,0.3747202754020691
1869031618202,0.36634740233421326,0.4229143261909485,0.3196081519126892,0.40907081961631775,0.31741538643836975,0.573213517665863,0.4503750205039978,0.4000004231929779,0.3927706480026245
1869031618203,0.35973063111305237,0.4809918701648712,0.34127211570739746,0.4156440496444702,0.3939838707447052,0.5495722889900208,0.5889838933944702,0.36513692140579224,0.39965277910232544
1869031618204,0.36467409133911133,0.5033740401268005,0.36644789576530457,0.40117985010147095,0.39240044355392456,0.5423562526702881,0.4996764361858368,0.3962656855583191,0.4355769157409668
1869031706201,0.2909785509109497,0.42828482389450073,0.32042962312698364,0.37605011463165283,0.4202631711959839,0.5101476907730103,0.5160534381866455,0.31188270449638367,0.36425286531448364
1869031806201,0.2802329659461975,0.31683850288391113,0.3958991765975952,0.4393141567707062,0.46548742055892944,0.4327259361743927,0.5667411684989929,0.2770761251449585,0.25553643703460693
1869031906201,0.2909785509109497,0.42828482389450073,0.32042962312698364,0.37605011463165283,0.4202631711959839,0.5101476907730103,0.5160534381866455,0.31188270449638367,0.36425286531448364
1869032306201,0.2802329659461975,0.31683850288391113,0.3958991765975952,0.4393141567707062,0.46548742055892944,0.4327259361743927,0.5667411684989929,0.2770761251449585,0.25553643703460693
1869032406201,0.2909785509109497,0.42828482389450073,0.32042962312698364,0.37605011463165283,0.4202631711959839,0.5101476907730103,0.5160534381866455,0.31188270449638367,0.36425286531448364
1869032506201,0.2802329659461975,0.31683850288391113,0.3958991765975952,0.4393141567707062,0.46548742055892944,0.4327259361743927,0.5667411684989929,0.2770761251449585,0.25553643703460693
1869032606201,0.2909785509109497,0.42828482389450073,0.32042962312698364,0.37605011463165283,0.4202631711959839,0.5101476907730103,0.5160534381866455,0.31188270449638367,0.36425286531448364
1869032706201,0.2802329659461975,0.31683850288391113,0.3958991765975952,0.4393141567707062,0.46548742055892944,0.4327259361743927,0.5667411684989929,0.2770761251449585,0.25553643703460693
1869032906201,0.2909785509109497,0.42828482389450073,0.32042962312698364,0.37605011463165283,0.4202631711959839,0.5101476907730103,0.5160534381866455,0.31188270449638367,0.36425286531448364
1869033006201,0.2802329659461975,0.31683850288391113,0.3958991765975952,0.4393141567707062,0.46548742055892944,0.4327259361743927,0.5667411684989929,0.2770761251449585,0.25553643703460693
1869033006202,0.3782457411289215,0.453298419713974,0.2989068329334259,0.5097487568855286,0.37189149856567383,0.5788521766662598,0.5510546565055847,0.33828723430633545,0.38295412063598633
1869033106201,0.2909785509109497,0.42828482389450073,0.32042962312698364,0.37605011463165283,0.4202631711959839,0.5101476907730103,0.5160534381866455,0.31188270449638367,0.36425286531448364
1869040106201,0.3782457411289215,0.453298419713974,0.2989068329334259,0.5097487568855286,0.37189149856567383,0.5788521766662598,0.5510546565055847,0.33828723430633545,0.38295412063598633
1869040206201,0.3782457411289215,0.453298419713974,0.2989068329334259,0.5097487568855286,0.37189149856567383,0.5788521766662598,0.5510546565055847,0.33828723430633545,0.38295412063598633
1869040306201,0.3782457411289215,0.453298419713974,0.2989068329334259,0.5097487568855286,0.37189149856567383,0.5788521766662598,0.5510546565055847,0.33828723430633545,0.38295412063598633
1869040506202,0.3782457411289215,0.453298419713974,0.2989068329334259,0.5097487568855286,0.37189149856567383,0.5788521766662598,0.5510546565055847,0.33828723430633545,0.38295412063598633
