Identifier,Negative Prescriptions,Positive prescriptions,Race,Religion,Resource,Journey,Government guarantee,Prosperity,Safety
1872032801204,0.7897722721099854,0.7722634673118591,0.7924352288246155,0.9045448899269104,0.8186221122741699,0.8362078070640564,0.8793429136276245,0.7771599888801575,0.8793429136276245
1872040404201,0.3175027370452881,0.3262717127799988,0.30523133277893066,0.3138158917427063,0.34635502099990845,0.30380699038505554,0.3703939616680145,0.30743974447250366,0.3155161142349243
1872040401202,0.4131403863430023,0.4439775049686432,0.4534585475921631,0.498721718788147,0.45277872681617737,0.47527045011520386,0.4604546129703522,0.5639945268630981,0.5235848426818848
1872040401203,0.7685832977294922,0.7656967639923096,0.7772154211997986,0.9045448899269104,0.7790827751159668,0.8105888366699219,0.8641884326934814,0.73736971616745,0.8641884326934814
1872041101202,0.7685832977294922,0.7656967639923096,0.7772154211997986,0.9045448899269104,0.7790827751159668,0.8105888366699219,0.8641884326934814,0.73736971616745,0.8641884326934814
1872041804201,0.3175027370452881,0.3262717127799988,0.30523133277893066,0.3138158917427063,0.34635502099990845,0.30380699038505554,0.3703939616680145,0.30743974447250366,0.3155161142349243
1872041801202,0.7685832977294922,0.7656967639923096,0.7772154211997986,0.9045448899269104,0.7790827751159668,0.8105888366699219,0.8641884326934814,0.73736971616745,0.8641884326934814
1872042504201,0.3175027370452881,0.3262717127799988,0.30523133277893066,0.3138158917427063,0.34635502099990845,0.30380699038505554,0.3703939616680145,0.30743974447250366,0.3155161142349243
1872042501202,0.7685832977294922,0.7656967639923096,0.7772154211997986,0.9045448899269104,0.7790827751159668,0.8105888366699219,0.8641884326934814,0.73736971616745,0.8641884326934814
1872042721201,0.7685832977294922,0.7656967639923096,0.7887551784515381,0.9045448899269104,0.7790827751159668,0.8105888366699219,0.8773967027664185,0.73736971616745,0.8773967027664185
1872042918203,0.7918320894241333,0.7501857876777649,0.7361974120140076,0.9045448899269104,0.7790827751159668,0.8105888366699219,0.8641884326934814,0.73736971616745,0.8641884326934814
1872042918204,0.760978102684021,0.7501857876777649,0.7361974120140076,0.9045448899269104,0.7790827751159668,0.8105888366699219,0.8641884326934814,0.73736971616745,0.8641884326934814
1872042918201,0.6741795539855957,0.6644271612167358,0.5989127159118652,0.6934509873390198,0.6138662099838257,0.6482094526290894,0.6607069373130798,0.5656304359436035,0.6607069373130798
1872042918202,0.70413738489151,0.6810393333435059,0.5939673781394958,0.6277488470077515,0.6071969270706177,0.6444889307022095,0.6921213269233704,0.6041141748428345,0.6921213269233704
1872042918205,0.7897722721099854,0.7575418949127197,0.7924351692199707,0.9045448899269104,0.8186221122741699,0.8362077474594116,0.8801975846290588,0.7771599292755127,0.8801975846290588
1872043012201,0.6942495703697205,0.6817731857299805,0.6489650011062622,0.7112950682640076,0.6700501441955566,0.6878446340560913,0.6932247877120972,0.6160755157470703,0.6932247877120972
1872043012202,0.2744956910610199,0.2704499065876007,0.28853949904441833,0.4540677070617676,0.32893139123916626,0.38287585973739624,0.2945792078971863,0.33504486083984375,0.2945792078971863
1872043012204,0.4759014844894409,0.4351763129234314,0.4263722896575928,0.5164071321487427,0.4714260697364807,0.5253098011016846,0.528275728225708,0.4646447002887726,0.47950685024261475
1872043012203,0.4541659355163574,0.4053719937801361,0.43379688262939453,0.4768694043159485,0.4294597804546356,0.46459054946899414,0.49366068840026855,0.40077802538871765,0.3830752372741699
1872050201202,0.7685832977294922,0.7656967639923096,0.7772154211997986,0.9045448899269104,0.7790827751159668,0.8105888366699219,0.8641884326934814,0.73736971616745,0.8641884326934814
1872050421201,0.7685832977294922,0.7656967639923096,0.7887551784515381,0.9045448899269104,0.7790827751159668,0.8105888366699219,0.8773967027664185,0.73736971616745,0.8773967027664185
1872050904201,0.3175027370452881,0.3262717127799988,0.30523133277893066,0.3138158917427063,0.34635502099990845,0.30380699038505554,0.3703939616680145,0.30743974447250366,0.3155161142349243
1872050901204,0.736619770526886,0.7243272066116333,0.7307809591293335,0.8845194578170776,0.7397136688232422,0.7746373414993286,0.8428348302841187,0.7627848982810974,0.8428348302841187
1872050901203,0.5906421542167664,0.6749564409255981,0.6404425501823425,0.6747721433639526,0.606967568397522,0.6696336269378662,0.7019891738891602,0.8345585465431213,0.7118023037910461
1872050901202,0.7685832977294922,0.7656967639923096,0.7772154211997986,0.9045448899269104,0.7790827751159668,0.8105888366699219,0.8641884326934814,0.73736971616745,0.8641884326934814
1872051012201,0.3944104313850403,0.3484242856502533,0.3941470980644226,0.47627508640289307,0.42616525292396545,0.45469921827316284,0.38855716586112976,0.3442637622356415,0.35272514820098877
1872051012202,0.2744753360748291,0.14998671412467957,0.22776469588279724,0.30587661266326904,0.17443738877773285,0.22365891933441162,0.27185046672821045,0.2595701813697815,0.18089142441749573
1872051121201,0.7685832977294922,0.7656967639923096,0.7887551784515381,0.9045448899269104,0.7790827751159668,0.8105888366699219,0.8773967027664185,0.73736971616745,0.8773967027664185
1872051604201,0.3175027370452881,0.3262717127799988,0.30523133277893066,0.3138158917427063,0.34635502099990845,0.30380699038505554,0.3703939616680145,0.30743974447250366,0.3155161142349243
1872051601202,0.7685832977294922,0.7656967639923096,0.7772154211997986,0.9045448899269104,0.7790827751159668,0.8105888366699219,0.8641884326934814,0.73736971616745,0.8641884326934814
1872051821201,0.7685832977294922,0.7656967639923096,0.7887551784515381,0.9045448899269104,0.7790827751159668,0.8105888366699219,0.8773967027664185,0.73736971616745,0.8773967027664185
1872052304201,0.3175027370452881,0.3262717127799988,0.30523133277893066,0.3138158917427063,0.34635502099990845,0.30380699038505554,0.3703939616680145,0.30743974447250366,0.3155161142349243
1872052301202,0.7685832977294922,0.7656967639923096,0.7772154211997986,0.9045448899269104,0.7790827751159668,0.8105888366699219,0.8641884326934814,0.73736971616745,0.8641884326934814
1872052422201,0.7897722721099854,0.7593803405761719,0.7924351692199707,0.9002154469490051,0.8186221122741699,0.8362077474594116,0.879342794418335,0.7771599292755127,0.879342794418335
1872052522201,0.7897722721099854,0.7593803405761719,0.7924351692199707,0.9002154469490051,0.8186221122741699,0.8362077474594116,0.879342794418335,0.7771599292755127,0.879342794418335
1872052521201,0.7685832977294922,0.7656967639923096,0.7887551784515381,0.9045448899269104,0.7790827751159668,0.8105888366699219,0.8773967027664185,0.73736971616745,0.8773967027664185
